id,incident_id,name,description,data,data,updated_date
LOGS_0001,INC0001,Web Server Access Logs,Access logs for the web server during the reported incident,"[{\""timestamp\"": \""2025-03-20 09:01:00\"", \""ip_address\"": \""192.168.1.100\"", \""request\"": \""GET /index.html\""}, {\""timestamp\"": \""2025-03-20 09:16:00\"", \""ip_address\"": \""192.168.1.101\"", \""request\"": \""GET /products\""}, {\""timestamp\"": \""2025-03-20 09:25:00\"", \""ip_address\"": \""192.168.1.102\"", \""request\"": \""POST /login\""}, {\""timestamp\"": \""2025-03-20 09:30:00\"", \""ip_address\"": \""192.168.1.103\"", \""request\"": \""GET /images/logo.png\""}, {\""timestamp\"": \""2025-03-20 09:40:00\"", \""ip_address\"": \""192.168.1.104\"", \""request\"": \""GET /contact.html\""}, {\""timestamp\"": \""2025-03-20 09:50:00\"", \""ip_address\"": \""192.168.1.105\"", \""request\"": \""POST /submit_form\""}]   2025-03-20 09:00:00     2025-03-20 09:17:00",2025-03-20 09:00:00,2025-03-20 09:17:00
LOGS_0002,INC0002,Application Error Logs,Error logs from the application server during the connection issues,"[{\""timestamp\"": \""2025-03-20 10:16:00\"", \""level\"": \""ERROR\"", \""message\"": \""Database connection timeout\""}, {\""timestamp\"": \""2025-03-20 10:18:00\"", \""level\"": \""WARNING\"", \""message\"": \""Retrying database connection\""}, {\""timestamp\"": \""2025-03-20 10:20:00\"", \""level\"": \""INFO\"", \""message\"": \""Connection established\""}, {\""timestamp\"": \""2025-03-20 10:25:00\"", \""level\"": \""ERROR\"", \""message\"": \""Query execution failed\""}, {\""timestamp\"": \""2025-03-20 10:30:00\"", \""level\"": \""WARNING\"", \""message\"": \""Transaction rollback initiated\""}, {\""timestamp\"": \""2025-03-20 10:35:00\"", \""level\"": \""INFO\"", \""message\"": \""Application restarted\""}]      2025-03-20 10:15:00     2025-03-20 10:19:00",2025-03-20 10:15:00,2025-03-20 10:19:00
LOGS_0003,INC0003,Network Switch Syslog,Syslog messages from the core network switch around the time of the outage,"[{\""timestamp\"": \""2025-03-20 11:31:00\"", \""severity\"": \""CRITICAL\"", \""message\"": \""Interface eth0/5 down\""}, {\""timestamp\"": \""2025-03-20 11:59:00\"", \""severity\"": \""INFORMATIONAL\"", \""message\"": \""Interface eth0/5 up\""}, {\""timestamp\"": \""2025-03-20 12:05:00\"", \""severity\"": \""WARNING\"", \""message\"": \""High CPU utilization\""}, {\""timestamp\"": \""2025-03-20 12:10:00\"", \""severity\"": \""INFORMATIONAL\"", \""message\"": \""Link speed changed to 1Gbps\""}, {\""timestamp\"": \""2025-03-20 12:15:00\"", \""severity\"": \""INFO\"", \""message\"": \""Spanning tree topology change detected\""}, {\""timestamp\"": \""2025-03-20 12:20:00\"", \""severity\"": \""DEBUG\"", \""message\"": \""MAC address table updated\""}]  2025-03-20 11:30:00     2025-03-20 12:00:00",2025-03-20 11:30:00,2025-03-20 12:00:00
LOGS_0004,INC0004,Laptop Application Logs,Logs from the problematic application on the affected laptops,"[{\""timestamp\"": \""2025-03-21 13:46:00\"", \""level\"": \""INFO\"", \""message\"": \""Application started\""}, {\""timestamp\"": \""2025-03-21 13:52:00\"", \""level\"": \""ERROR\"", \""message\"": \""Out of memory error\""}, {\""timestamp\"": \""2025-03-21 13:58:00\"", \""level\"": \""DEBUG\"", \""message\"": \""Garbage collection started\""}, {\""timestamp\"": \""2025-03-21 14:05:00\"", \""level\"": \""INFO\"", \""message\"": \""Application restarted successfully\""}, {\""timestamp\"": \""2025-03-21 14:10:00\"", \""level\"": \""WARNING\"", \""message\"": \""High CPU usage detected\""}, {\""timestamp\"": \""2025-03-21 14:15:00\"", \""level\"": \""ERROR\"", \""message\"": \""File access denied\""}]   2025-03-21 13:45:00     2025-03-21 13:53:00",2025-03-21 13:45:00,2025-03-21 13:53:00
LOGS_0005,INC0005,Email Server SMTP Logs,SMTP logs from the email server showing delivery attempts,"[{\""timestamp\"": \""2025-03-22 15:01:00\"", \""direction\"": \""OUT\"", \""recipient\"": \""internal_user@example.com\"", \""status\"": \""QUEUED\""}, {\""timestamp\"": \""2025-03-22 15:15:00\"", \""direction\"": \""OUT\"", \""recipient\"": \""internal_user@example.com\"", \""status\"": \""DELIVERED\""}, {\""timestamp\"": \""2025-03-22 15:20:00\"", \""direction\"": \""IN\"", \""sender\"": \""external@example.com\"", \""status\"": \""RECEIVED\""}, {\""timestamp\"": \""2025-03-22 15:28:00\"", \""direction\"": \""OUT\"", \""recipient\"": \""external@example.com\"", \""status\"": \""FAILED\"", \""reason\"": \""HOST_UNREACHABLE\""}, {\""timestamp\"": \""2025-03-22 15:35:00\"", \""direction\"": \""IN\"", \""sender\"": \""another_external@example.com\"", \""status\"": \""BLOCKED\"", \""reason\"": \""SPAM\""}, {\""timestamp\"": \""2025-03-22 15:40:00\"", \""direction\"": \""OUT\"", \""recipient\"": \""admin@example.com\"", \""status\"": \""SENT\""}]   2025-03-22 15:00:00     2025-03-22 15:16:00",2025-03-22 15:00:00,2025-03-22 15:16:00
LOGS_0006,INC0006,Firewall Event Logs,Logs showing blocked connection attempts on the firewall,"[{\""timestamp\"": \""2025-03-23 09:01:00\"", \""action\"": \""BLOCK\"", \""protocol\"": \""TCP\"", \""source_ip\"": \""203.0.113.45\"", \""destination_port\"": 80}, {\""timestamp\"": \""2025-03-23 09:05:00\"", \""action\"": \""ALLOW\"", \""protocol\"": \""TCP\"", \""source_ip\"": \""192.168.1.50\"", \""destination_port\"": 443}]",2025-03-23 09:00:00,2025-03-23 09:06:00
LOGS_0007,INC0007,Test Application Debug Logs,Detailed debug logs from the test application,"[{\""timestamp\"": \""2025-03-20 17:46:00\"", \""level\"": \""DEBUG\"", \""module\"": \""authentication\"", \""message\"": \""User authentication successful\""}, {\""timestamp\"": \""2025-03-20 17:55:00\"", \""level\"": \""ERROR\"", \""module\"": \""data_processing\"", \""message\"": \""Null pointer exception\""}, {\""timestamp\"": \""2025-03-20 18:00:00\"", \""level\"": \""INFO\"", \""module\"": \""data_processing\"", \""message\"": \""Data loaded successfully\""}, {\""timestamp\"": \""2025-03-20 18:05:00\"", \""level\"": \""DEBUG\"", \""module\"": \""ui\"", \""message\"": \""Rendering component\""}, {\""timestamp\"": \""2025-03-20 18:10:00\"", \""level\"": \""WARNING\"", \""module\"": \""network\"", \""message\"": \""Connection timeout\""}, {\""timestamp\"": \""2025-03-20 18:15:00\"", \""level\"": \""INFO\"", \""module\"": \""network\"", \""message\"": \""Connection re-established\""}]",2025-03-20 17:45:00,2025-03-20 17:56:00
LOGS_0008,INC0008,Storage Array Performance Logs,Performance metrics logged by the storage array,"[{\""timestamp\"": \""2025-03-21 19:01:00\"", \""metric\"": \""read_iops\"", \""value\"": 150}, {\""timestamp\"": \""2025-03-21 19:10:00\"", \""metric\"": \""write_latency\"", \""value\"": 30}, {\""timestamp\"": \""2025-03-21 19:15:00\"", \""metric\"": \""read_throughput\"", \""value\"": 200}, {\""timestamp\"": \""2025-03-21 19:20:00\"", \""metric\"": \""write_iops\"", \""value\"": 80}, {\""timestamp\"": \""2025-03-21 19:25:00\"", \""metric\"": \""cpu_usage\"", \""value\"": 75}, {\""timestamp\"": \""2025-03-21 19:30:00\"", \""metric\"": \""memory_usage\"", \""value\"": 90}]",2025-03-21 19:00:00,2025-03-21 19:11:00
LOGS_0009,INC0009,Desktop Application Crash Logs,Event logs related to the desktop application crashes,"[{\""timestamp\"": \""2025-03-22 20:31:00\"", \""event_id\"": 1000, \""category\"": \""Application Crash\"", \""description\"": \""Faulting application name: App.exe\""}, {\""timestamp\"": \""2025-03-22 20:38:00\"", \""event_id\"": 1000, \""category\"": \""Application Crash\"", \""description\"": \""Faulting application name: App.exe\""}, {\""timestamp\"": \""2025-03-22 20:45:00\"", \""event_id\"": 1001, \""category\"": \""Application Error\"", \""description\"": \""Module XYZ caused an exception\""}, {\""timestamp\"": \""2025-03-22 20:50:00\"", \""event_id\"": 1000, \""category\"": \""Application Crash\"", \""description\"": \""Faulting application name: App.exe\""}, {\""timestamp\"": \""2025-03-22 20:55:00\"", \""event_id\"": 1002, \""category\"": \""Application Warning\"", \""description\"": \""Low disk space\""}, {\""timestamp\"": \""2025-03-22 21:00:00\"", \""event_id\"": 1000, \""category\"": \""Application Crash\"", \""description\"": \""Faulting application name: App.exe\""}]",2025-03-22 20:30:00,2025-03-22 20:39:00
LOGS_00010,INC00010,Load Balancer Statistics,Real-time statistics from the load balancer,"[{\""timestamp\"": \""2025-03-23 22:01:00\"", \""server\"": \""web01\"", \""connections\"": 120}, {\""timestamp\"": \""2025-03-23 22:10:00\"", \""server\"": \""web02\"", \""connections\"": 80}, {\""timestamp\"": \""2025-03-23 22:15:00\"", \""server\"": \""web03\"", \""connections\"": 100}, {\""timestamp\"": \""2025-03-23 22:20:00\"", \""server\"": \""web01\"", \""connections\"": 150}, {\""timestamp\"": \""2025-03-23 22:25:00\"", \""server\"": \""web02\"", \""connections\"": 90}, {\""timestamp\"": \""2025-03-23 22:30:00\"", \""server\"": \""web03\"", \""connections\"": 110}]",2025-03-23 22:00:00,2025-03-23 22:11:00
